									
									
	15	1997-06-21	A	Columbus	1-2	L	5-10	Sorber (Donadoni) 62	Tony Meola, Ezra Hendrickson, Rhett Harty (Andrew Lewis 55), Jeff Zaun, Brian Kelly (Cristian da Silva 77), Braeden Cloutier (Miles Joseph 53), Manuel Lagos, Roberto Donadoni, Mike Sorber, Giovanni Savarese, Antony De Avila 
	16	1997-07-04	A	Tampa Bay	0-1	L	5-11		Tony Meola, Rhett Harty, Mark Semioli, Brian Kelly, Kerry Zavagnin (Ezra Hendrickson 77), Manny Lagos, Mike Sorber, Roberto Donadoni (Cristian da Silva 46), Tab Ramos (Carlos Parra 71), A.J. Wood, Miles Joseph
	17	1997-07-13	H	Colorado	4-1	W	6-11	De Avila (Ramos, Lagos) 11; Ramos (De Avila) 63; De Avila (Joseph, Bliss) 80; Ramos (De Avila) 84	Tony Meola, Brian Bliss, Rhett Harty, Mark Semioli, Kerry Zavagnin (Ezra Hendrickson 63), Roberto Donadoni, Manuel Lagos, Tab Ramos, Mike Sorber, Antony De Avila, Giovanni Savarese (Miles Joseph 79) 
	18	1997-07-20	H	Los Angeles	0-4	L	6-12		Tony Meola, Brian Bliss (Brian Kelly 68), Rhett Harty, Matt Knowles (Braeden Cloutier 53), Mark Semioli, Roberto Donadoni, Manuel Lagos, Tab Ramos, Mike Sorber, Shaun Bartlett, Miles Joseph 
	OC-3rd	1997-07-23	A	Richmond	3-0	W		Bartlett (Donadoni) 66; Bartlett 78; Joseph 80	Tony Meola, Andrew Lewis, Rhett Harty, Brian Bliss, Carlos Parra, Tab Ramos (Miles Joseph 42), Roberto Donadoni, Mike Sorber, Manny Lagos (Brian Kelly 75), Shaun Bartlett, Antony De Avila (Giovanni Savarese 72)
	19	1997-07-27	H	DC United	2-1	W	7-12	Savarese (De Avila) 71; De Avila (Ramos, Donadoni) 82	Tony Meola, Brian Bliss, Branco, Rhett Harty, Mark Semioli (Braeden Cloutier 62), Roberto Donadoni, Manuel Lagos (Brian Kelly 75), Tab Ramos, Shaun Bartlett (Giovanni Savarese 68), Antony De Avila, Miles Joseph 
	20	1997-08-03	H	Tampa Bay	2-3	L	7-13	De Avila (Branco) 27; De Avila (Ramos) 74	Tony Meola, Brian Bliss, Branco, Rhett Harty, Mark Semioli (Braeden Cloutier 46), Roberto Donadoni, Manuel Lagos (Brian Kelly 62), Tab Ramos, Shaun Bartlett (Giovanni Savarese 62), Antony De Avila, Miles Joseph 
	21	1997-08-15	A	Colorado	0-2	L	7-14		Tony Meola, Brian Bliss, Branco (sent off 83), Rhett Harty, Mark Semioli (Braeden Cloutier 86), Roberto Donadoni, Manuel Lagos (Matt Knowles 74), Tab Ramos, Mike Sorber (Miles Joseph 37), Antony De Avila, Giovanni Savarese 
	22	1997-08-17	A	Kansas City	3-3	L	7-15	Savarese (Kelly) 17; Donadoni (pk) 70; Savarese (Kelly) 78	Tony Meola, Brian Bliss (Cristian da Silva 85), Rhett Harty, Matt Knowles, Mark Semioli (Braeden Cloutier 55), Roberto Donadoni, Brian Kelly, Manuel Lagos, Tab Ramos (sent off 41), Miles Joseph (Kerry Zavagnin 79), Giovanni Savarese
	23	1997-08-23	A	Dallas	2-1	W	8-15	own goal (Martinez) 60; Savarese (Joseph) 76	Tony Meola, Brian Bliss, Rhett Harty, Mark Semioli (Matt Knowles 76), Branco, Roberto Donadoni, Brian Kelly (Kerry Zavagnin 84), Manuel Lagos (Shaun Bartlett 60), Antony De Avila, Miles Joseph, Giovanni Savarese 
